# Time-averaged data for fix msd2
# TimeStep Number-of-rows
# Row c_comp2
0 4
1 1.11526e-25
2 4.65289e-25
3 6.15345e-23
4 6.21113e-23
100 4
1 0.0405234
2 0.0404146
3 0.0405134
4 0.121451
200 4
1 0.0346673
2 0.0338466
3 0.0340396
4 0.102554
300 4
1 0.00833139
2 0.00829813
3 0.00825529
4 0.0248848
400 4
1 0.0385995
2 0.037965
3 0.0381943
4 0.114759
500 4
1 0.025601
2 0.0256523
3 0.0253618
4 0.076615
600 4
1 0.0139348
2 0.0138367
3 0.0137079
4 0.0414794
700 4
1 0.0327124
2 0.0322346
3 0.0318753
4 0.0968223
800 4
1 0.0198788
2 0.0198256
3 0.0200197
4 0.0597242
900 4
1 0.0153622
2 0.0154182
3 0.0150706
4 0.045851
1000 4
1 0.0266462
2 0.0261191
3 0.0262854
4 0.0790507
1100 4
1 0.016816
2 0.0170309
3 0.017238
4 0.0510849
1200 4
1 0.0156986
2 0.0153818
3 0.0154322
4 0.0465126
1300 4
1 0.0220931
2 0.0219915
3 0.0220446
4 0.0661293
1400 4
1 0.0150307
2 0.0150763
3 0.0150396
4 0.0451466
1500 4
1 0.0147266
2 0.01469
3 0.0146631
4 0.0440797
1600 4
1 0.0189049
2 0.0188904
3 0.0189123
4 0.0567076
1700 4
1 0.0134111
2 0.0137386
3 0.0135213
4 0.040671
1800 4
1 0.0139369
2 0.0138753
3 0.0137986
4 0.0416109
1900 4
1 0.0166792
2 0.0165368
3 0.0164673
4 0.0496833
2000 4
1 0.0125234
2 0.0123882
3 0.0123508
4 0.0372624
2100 4
1 0.0131398
2 0.0130227
3 0.0128136
4 0.0389761
2200 4
1 0.0147957
2 0.0146593
3 0.0145043
4 0.0439592
2300 4
1 0.0113755
2 0.0114321
3 0.0113424
4 0.03415
2400 4
1 0.0120972
2 0.0120164
3 0.0119732
4 0.0360868
2500 4
1 0.0129872
2 0.0130814
3 0.0130938
4 0.0391624
2600 4
1 0.010695
2 0.0106204
3 0.0105474
4 0.0318628
2700 4
1 0.0110179
2 0.0111602
3 0.0110198
4 0.0331979
2800 4
1 0.0117576
2 0.0116774
3 0.0116642
4 0.0350992
2900 4
1 0.00983188
2 0.00988414
3 0.00963133
4 0.0293473
3000 4
1 0.0102333
2 0.0103002
3 0.0100846
4 0.0306181
3100 4
1 0.0106524
2 0.0105762
3 0.0105233
4 0.0317519
3200 4
1 0.00913456
2 0.00896716
3 0.0089977
4 0.0270994
3300 4
1 0.0095244
2 0.00944356
3 0.0093944
4 0.0283624
3400 4
1 0.00960032
2 0.00953353
